id|longitude|latitude|tipogeo|uf|municipio|cod_ibge|nome|end_orig|num_orig|compl_orig|bairro_orig|cep_orig|tipo_logradouro|nome_logradouro|km|num_logradouro|compl_logradouro|bairro|cep|nome_resp|ddd_telefone1|telefone1|ddd_fax|fax|email|site|esfera_adm|tipo_esfera|cnpj|sniic_n1|sniic_n2|sniic_n3|cod_censo_fgv|segunda|terca|quarta|quinta|sexta|sabado|domingo|manha|tarde|noite|acesso_usuario_internet|qt_emprestimos_domiciliares|qt_livros_acervo
34|-61.317088|-11.82562|1|RO|Primavera de Rondônia|1101476|Biblioteca Pública Municipal Dazinho Neres Francino|Av. Tancredo Neves| | |Centro|76976-000|AV|TANCREDO NEVES| | | |CENTRO|76976-000|Mirian dos Santos| | |69|3446-1140| | |Pública|Municipal| |1|1.2|1.2.1|28|1|1|1|1|1|0|0|1|1|0|Sim|60|4200
35|-63.568506|-12.052376|3|RO|São Francisco do Guaporé|1101492|Biblioteca Pública Municipal Roberto Marinho|Av. Brasil| | |Centro|76935-000|AV|BRASIL| | | |CENTRO|76935-000|Ilva Ferreira da Silva| | | | | | |Pública|Municipal| |1|1.2|1.2.1|8|1|1|1|1|1|0|0|1|1|0|Não|9|500
36|-63.037232|-11.695273|2|RO|Seringueiras|1101500|Biblioteca Pública Municipal Renan Camilo de Vasconcelos|R. Curitiba| | |Centro|76934-000|R|CURITIBA| | | |CENTRO|76934-000|Walter P Duarte| | | | | | |Pública|Municipal| |1|1.2|1.2.1|2985|1|1|1|1|1|0|0|1|1|0|Não|20|1000
37|-62.255828|-10.932946|1|RO|Teixeirópolis|1101559|Biblioteca Pública Municipal Raquel de Queiroz|R. Genibaldo de Souza| | |Centro|76928-000|R|GENIBALDO DE SOUZA| | | |CENTRO|76928-000|Cláudia Maria Luz Coelho Tassinari| | | | | | |Pública|Municipal| |1|1.2|1.2.1|1|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|2200
38|-62.348724|-10.247125|2|RO|Theobroma|1101609|Biblioteca Pública Municipal Confúcio Moura|Av. 13 de Fevereiro| | |Centro|78866-000|AV|13 DE FEVEREIRO| | | |CENTRO|78866-000|José Balduíno Beltrão| | |69|3523-1159| | |Pública|Municipal| |1|1.2|1.2.1|13|1|1|1|1|1|0|0|1|1|0|Não|45|800
39|-62.129272|-10.397325|2|RO|Vale do Paraíso|1101807|Biblioteca Pública Municipal Edileuza Rocha de Lima|Pç. Municipal Deusdete Gomes Moreira| | |Centro|76923-000|PCA|MUNICIPAL DEUSDETE GOMES MOREIRA| | | |CENTRO|76923-000|Ana Cláudia Bravim| | | | | | |Pública|Municipal| |1|1.2|1.2.1|15|1|1|1|1|1|0|0|1|0|0|Não|30|1500
40|-66.897716|-9.826193|3|AC|Acrelândia|1200013|Biblioteca Pública Municipal|R. José de Deus| | |Centro|69945-000|R|JOSE DE DEUS| |50| |CENTRO|69945-000|Ana Lecy Ferreira da Silva|68|3235-1430| | | | |Pública|Municipal| |1|1.2|1.2.1|2982|1|1|1|1|1|0|0|1|1|1|Não|350|5000
41|-67.955584|-9.81566|3|AC|Bujari|1200138|Biblioteca Pública Municipal Professor Natal Moura Cavalcante|R. Raio do Sol| | |Centro|69923-000|R|RAIO DO SOL| |50| |CENTRO|69923-000|Maria do Socorro Nascimento de Souza|68|9238-7252| | | | |Pública|Municipal| |1|1.2|1.2.1|2995|1|1|1|1|1|1|0|1|1|1|Não|60|2000
42|-67.686562|-10.566417|3|AC|Capixaba|1200179|Biblioteca Pública Municipal de Capixaba|Tv.  Gavião| | |Centro|69922-000|TV|GAVIAO| |50| |CENTRO|69922-000|Idalina Matos da Silva dos Santos|68|8415-6205| | | | |Pública|Municipal| |1|1.2|1.2.1|2996|1|1|1|1|1|0|0|1|1|0|Não|28|2000
43|-72.63928|-7.655435|1|AC|Cruzeiro do Sul|1200203|Biblioteca Pública Municipal Dom José Hascher|Av. Rodrigues Alves|295| |Centro|69980-000|AV|RODRIGUES ALVES| |295| |CENTRO|69980-000|Ivanilde Marques de Araújo Silva|68|9983-1466|68|3322-1262| | |Pública|Municipal| |1|1.2|1.2.1|4449|1|1|1|1|1|0|0|1|1|1|Não|51|13894
44|-72.800279|-8.939356|3|AC|Marechal Thaumaturgo|1200351|Biblioteca Pública Municipal Lacyr Freitas Duvale|R. 5 de Novembro|47| |Centro|69983-000|R|5 DE NOVEMBRO| |47| |CENTRO|69983-000|Francisca Maria Martins da Cunha|68|3325-1012| | | | |Pública|Municipal| |1|1.2|1.2.1|2993|1|1|1|1|1|0|0|1|1|1|Não|300|3500
45|-67.137688|-10.281026|3|AC|Plácido de Castro|1200385|Biblioteca Pública Municipal Arantes Meira|R. Diamantino Augusto de Macedo| | |Centro|69928-000|R|DIAMANTINO AUGUSTO DE MACEDO| |50| |CENTRO|69928-000|Elzanira D Cardoso| | | | | | |Pública|Municipal| |1|1.2|1.2.1|2997|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|2000
46|-72.75432|-8.263604|3|AC|Porto Walter|1200393|Biblioteca Pública Municipal Clotilde Ribeiro de Moura|Pç. Vicente Lopes| | |Centro|69982-000|PCA|VICENTE LOPES| |50| |CENTRO|69982-000|Maristela Costa Barros|68|3325-8102| | | | |Pública|Municipal| |1|1.2|1.2.1|2994|1|1|1|1|1|0|0|1|1|1|Não|Não Informou|2013
47|-67.824903|-9.945763|1|AC|Rio Branco|1200401|Biblioteca Pública Municipal de Rio Branco|R. Alvorada|492| |Bosque|69909-380|R|ALVORADA| |492| |BOSQUE|69909-380|Tevelinda Abreu de Lima|68|3223-3923| | |centrodemultimeiosseme@gmail.com| |Pública|Municipal| |1|1.2|1.2.1|2989|1|1|1|1|1|0|0|1|1|0|Sim|200|14000
48|-67.826592|-9.971989|2|AC|Rio Branco|1200401|Biblioteca Pública Municipal Luís de Carvalho Fontenele|R. Doutor Ary Rodrigues|669| |Abraão Alab|69900-190|R|DOUTOR ARY RODRIGUES| |669| |ABRAAO ALAB|69900-190|Luzanete Lopes da Cunha Marlete Andrade|68|3227-8893|68|3227-1636| | |Pública|Municipal| |1|1.2|1.2.1|2998|1|1|1|1|1|0|0|1|1|1|Não|15|2000
49|-67.73674|-10.150071|3|AC|Senador Guiomard|1200450|Biblioteca Pública Municipal Luiza Batista Medeiros|Av. Castelo Branco| | |Centro|69192-500|AV|CASTELO BRANCO| |50| |CENTRO|69192-500|Weberson Lopes Cavalcante|68|3232-3646| | | | |Pública|Municipal| |1|1.2|1.2.1|2986|1|1|1|1|1|0|0|1|1|0|Sim|60|1955
50|-61.658|-3.746392|3|AM|Anori|1300102|Biblioteca Pública Municipal Rui Barbosa|R. Prof.  Januário Nazaré| | |Centro|69440-000|R|PROFESSOR  JANUARIO NAZARE| | | |CENTRO|69440-000|Ecilma Almeida da Silva|97|3352-1808| | | | |Pública|Municipal| |1|1.2|1.2.1|2713|1|1|1|1|1|0|0|1|1|0|Não|10|7620
51|-59.896466|-7.194475|3|AM|Apuí|1300144|Biblioteca Pública Municipal Coriolando Fadoul|R. Acari| | |Centro|69265-000|R|ACARI| | | |CENTRO|69265-000|Rosalina Finco Fachin|97|3389-1311| | | | |Pública|Municipal| |1|1.2|1.2.1|2719|1|1|1|1|1|0|0|1|1|1|Não|400|5500
52|-70.197256|-4.370913|3|AM|Atalaia do Norte|1300201|Biblioteca Pública Municipal Antônio de Souza Braga|R. Augusto Luzeiro| | |Centro|69650-000|R|AUGUSTO LUZEIRO| | | |CENTRO|69650-000|Elizeth Almeida Rodrigues|97|3417-1191| | | | |Pública|Municipal| |1|1.2|1.2.1|2707|1|1|1|1|1|0|0|1|1|0|Não|15|1800
53|-62.931576|-.983724|3|AM|Barcelos|1300409|Biblioteca Pública Municipal Alexandre Ambrósio|R. Durval Porto| | |Nazaré|69700-000|R|DURVAL PORTO| | | |NAZARE|69700-000|Acimara Pinheiro Albertino|97|3321-1653|97|3321-1796| | |Pública|Municipal| |1|1.2|1.2.1|4481|1|1|1|1|1|1|0|1|1|1|Não|20|2581
54|-57.068384|-2.799225|3|AM|Barreirinha|1300508|Biblioteca Memorial Thiago de Mello|Av. Espanha| | |Centro|69160-000|AV|ESPANHA| | | |CENTRO|69160-000|Paulo Afonso Nunes Ferreira|92|9106-2359| | | | |Pública|Municipal| |1|1.2|1.2.1|2715|1|1|1|1|1|0|0|1|1|0|Não|250|3500
55|-70.023176|-4.391063|1|AM|Benjamin Constant|1300607|Biblioteca Pública Municipal Francisco Soares de Assis|Av. Castelo Branco| | |Centro|69630-000|AV|CASTELO BRANCO| | | |CENTRO|69630-000|Renny Santos da Silva|97|3415-5333| | | | |Pública|Municipal| |1|1.2|1.2.1|2720|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|3500
56|-57.587826|-2.97445|3|AM|Boa Vista do Ramos|1300680|Biblioteca Pública Municipal Padre Gabriel Modica|R. Senador José Esteves| | |Centro|69195-000|R|SENADOR JOSE ESTEVES| | | |CENTRO|69195-000|Ivete Batista de Souza|92|9121-9995|92|3545-5385| | |Pública|Municipal| |1|1.2|1.2.1|2716|1|1|1|1|1|0|0|1|1|0|Não|30|1041
57|-66.909104|-4.881972|3|AM|Carauari|1301001|Biblioteca Pública Municipal|R. Jorge Alves| | |Centro|69500-000|R|JORGE ALVES| | | |CENTRO|69500-000|Zaneide Celestina da Silva|97|3491-1040|97|3491-1019| | |Pública|Municipal| |1|1.2|1.2.1|4342|1|1|1|1|1|0|0|1|1|0|Não|20|3000
58|-62.066304|-3.830893|3|AM|Codajás|1301308|Biblioteca Pública Municipal Mozart Farias|R. Getúlio Vargas|141| |Centro|69450-970|R|GETULIO VARGAS| |141| |CENTRO|69450-970|Zele Guimarães de Souza|92|9153-6705| | | | |Pública|Municipal| |1|1.2|1.2.1|2714|1|1|1|1|1|0|0|1|1|1|Não|Não Informou|2000
59|-69.865352|-6.667792|1|AM|Eirunepé|1301407|Biblioteca Pública Municipal Machado de Assis|R. Felipe Cunha| | |Centro|69880-000|R|FELIPE CUNHA| | | |CENTRO|69880-000|Raimundo Alterley de Souza Oliveira|97|3481-1567|97|3481-1169| | |Pública|Municipal| |1|1.2|1.2.1|4184|1|1|1|1|1|0|0|1|1|1|Não|75|3000
60|-70.028704|-7.438262|3|AM|Envira|1301506|Biblioteca Pública Municipal Esmerilda Gomes|R. Lupercínio Mariano| | |São Francisco|69870-000|R|LUPERCINIO MARIANO| | | |SAO FRANCISCO|69870-000|José Ralf Pinto do Nascimento|97|3483-1776| | | | |Pública|Municipal| |1|1.2|1.2.1|2712|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|1000
61|-66.094752|-2.523781|3|AM|Fonte Boa|1301605|Biblioteca Pública Municipal Oscar de Paula Portela|R. Francisco Pereira de Souza| | |Centro|69670-000|R|FRANCISCO PEREIRA DE SOUZA| | | |CENTRO|69670-000|Damião Marques da Silva|97|3422-1802|97|3422-1802| | |Pública|Municipal| |1|1.2|1.2.1|2711|1|1|1|1|1|0|0|1|1|1|Sim|Não Informou|4800
62|-63.033271|-7.512093|3|AM|Humaitá|1301704|Biblioteca Pública Municipal Poeta José Maria Ferreira de Castro|R. Marechal  Deodoro|18| |Centro|69800-000|R|MARECHAL  DEODORO| |18| |CENTRO|69800-000|Ivana Ferreira Reis|97|9183-0346| | | | |Pública|Municipal| |1|1.2|1.2.1|2718|1|1|1|1|1|0|0|1|1|1|Não|60|6200
63|-58.433708|-3.141513|1|AM|Itacoatiara|1301902|Biblioteca Pública Municipal Manuel Anízio Jobim|R. Isaac Peres|2211| |Centro|69100-000|R|ISAAC PERES| |2211| |CENTRO|69100-000|Edilene Macedo Perdigão|92|3521-3662| | | | |Pública|Municipal| |1|1.2|1.2.1|2709|1|1|1|1|1|0|0|1|1|1|Não|Não Informou|7000
64|-58.029752|-2.741172|3|AM|Itapiranga|1302009|Biblioteca Pública Municipal Miguel Batista de Oliveira|Av. Nazaré| | |Centro|69120-009|AV|NAZARE| | | |CENTRO|69120-009|Noemi Santos Pereira Sabino|92|9159-9033| | | | |Pública|Municipal| |1|1.2|1.2.1|4625|1|1|1|1|1|0|0|1|1|0|Não|Não Informou|4000
65|-66.072336|-3.484745|3|AM|Juruá|1302207|Biblioteca Pública Municipal Marlene Goes Damasceno|R. Francisco de Paula| | |Centro|69520-000|R|FRANCISCO DE PAULA| | | |CENTRO|69520-000|Ana Alice de Amorim dos Santos Soares|97|3427-1007|97|3427-1061| | |Pública|Municipal| |1|1.2|1.2.1|4183|1|1|1|1|1|1|0|1|1|1|Não|Não Informou|1000
66|-60.622103|-3.299971|2|AM|Manacapuru|1302504|Biblioteca Pública Municipal Elizabeth Lima de Almeida|Av. Pedro Rates de Oliveira|753| |Centro|69040-000|AV|PEDRO RATES DE OLIVEIRA| |753| |CENTRO|69040-000|Santana Teles de Moura|92|9219-8959| | | | |Pública|Municipal| |1|1.2|1.2.1|2710|1|1|1|1|1|0|0|1|1|1|Sim|50|13142
67|-60.024584|-3.128953|1|AM|Manaus|1302603|Biblioteca Pública Municipal Professor João Bosco Pantoja Evangelista|R. Monsenhor Coutinho|524| |Centro|69010-110|R|MONSENHOR COUTINHO| |524| |CENTRO|69010-110|Maria Auxiliadora Vieira Canto|92|3215-4615|92|3215-4615|biblioteca.municipal@pmm.am.gov.br| |Pública|Municipal| |1|1.2|1.2.1|2724|1|1|1|1|1|0|0|1|1|0|Sim|Não Informou|20000
68|-61.29|-5.804993|3|AM|Manicoré|1302702|Biblioteca Pública Municipal Raimunda do Rosário|Pç. Rui Araújo| | |Centro|69280-000|PCA|RUI ARAUJO| | | |CENTRO|69280-000|Antônia Maria da Silva Anunciação|97|8801-5430| | | | |Pública|Municipal| |1|1.2|1.2.1|2708|1|1|1|1|1|0|0|1|1|1|Sim|35|1800
69|-57.716444|-3.388571|1|AM|Maués|1302900|Biblioteca Pública Municipal Almir Gomes de Almeida|R. Boa Vista| | |Ramalho Júnior|69190-000|R|BOA VISTA| | | |RAMALHO JUNIOR|69190-000|Maria Elzilene Mendonça Belém|92|3542-1161|92|3542-1161| | |Pública|Municipal| |1|1.2|1.2.1|2717|1|1|1|1|1|0|0|1|1|1|Não|Não Informou|6200
70|-56.734096|-2.630979|1|AM|Parintins|1303403|Biblioteca Pública Municipal Tonzinho Saunier|Av. Nações Unidas| | |Centro|69151-060|AV|NACOES UNIDAS| | | |CENTRO|69151-060|Fernanda Andrade Butel|92|8133-9479| | |bmptonzinhosaunier@gmail.com| |Pública|Municipal| |1|1.2|1.2.1|2725|1|1|1|1|1|0|0|1|1|1|Sim|109| 
